,dft,nmf,pca,kmeans
0,42.693559865068146,42.693559865068146,42.693559865068146,42.693559865068146
1,43.13551659008525,66.09694312821081,48.15155748872881,42.693559865068146
2,41.28347994985082,65.91415736417542,63.6081772230811,43.13738007243399
3,41.5357921913678,67.34548481594928,62.542871768770226,43.00804776986689
4,44.890067974022685,68.08914381742356,66.90826843594485,44.05794010690835
5,47.41036847034103,67.4473984916138,62.60885961061136,45.35259579578065
6,50.408368271780304,74.09230920372799,66.94450375890115,42.64173219052485
7,54.26586023691373,83.85682923967718,70.13090391661922,43.03976153740232
8,55.519104127623486,94.83361376556806,88.45552784961602,49.05566708601991
9,58.64583989777401,94.88665146551904,82.20540938184527,46.12635138530412
10,63.87674340774011,94.72126377528946,83.42925573096585,47.918473797196214
11,63.465521975502206,104.83215407807587,81.02612470388019,49.812774421517005
12,63.465521975502206,92.44495711941605,84.12250192197232,55.54741979300432
