,dft,nmf,pca,kmeans,y
0,77.95925050788378,66.46161369798875,67.48771140435457,66.79839125325066,68.02
1,73.30322539453616,70.74443789713932,70.60195914136546,69.52026234236926,62.0
2,69.4877962983523,67.506090198269,67.97016488009099,71.20284315535429,68.73
3,67.07513975337378,72.81124502718015,73.37537393061798,75.38895662566695,65.74
4,77.83414897897308,75.37297686855365,76.63692884426888,74.59122372361928,75.45
5,65.73691818084185,68.31685885616164,68.09709497454327,68.76784459717464,63.5
6,64.558955149848,73.51449617690818,71.07013306724704,73.58013963765328,71.54
7,64.99706719057296,71.79397213012555,68.77112973309184,71.88152199529146,73.89
8,61.42481199455841,73.10965475944741,73.23126465613417,73.96565231149863,59.09
9,69.4703820796492,70.86332006418829,70.76282196792076,69.05975016353293,68.96
10,69.05277347643732,64.44244293155526,66.68919399121054,64.32292331817078,74.61
11,81.51175153298372,73.25091455429228,73.20335988187932,76.3956177799614,80.19
12,70.06625078394202,71.26133877873974,70.90383518217442,70.79342106483915,66.37
13,73.60163325137395,74.09646166586633,74.48228361941216,74.36116602722642,72.8
14,73.24632066959754,73.15583569529605,73.36491336605465,73.96629296918266,73.38
15,82.57691019571128,73.27581504371129,73.51763761784537,73.50436794888257,82.8
16,75.19332204447323,70.40698346276477,70.32065675048607,70.43540823154284,82.37
17,75.07246836962892,87.50936142712604,83.61850616236194,70.2890466916478,61.58
18,59.54086180594293,71.22147866600652,71.26170369536632,71.69370290912157,59.63
19,81.63099862502551,61.95512149349339,68.44167770399868,70.45131051315865,81.1
20,78.23445762779234,69.72888753929647,68.29617963013273,70.42079793772687,69.58
21,64.93923013842794,75.31476978566606,75.4893260945272,75.32401164943718,67.62
22,90.19426404634268,73.21600825582026,73.70847813757382,74.99614795345188,81.19
23,80.93743096703216,66.16135244458992,66.9666919116795,64.81109499346087,75.7
24,73.96287669598459,73.77960540959475,73.9962389603336,74.4543512588013,71.65
25,63.250099667102305,72.78115645717786,71.57386887282185,76.31141410097968,63.41
26,70.19288060124157,67.7221777173578,67.80955559531755,68.92799514130857,73.77
27,71.57357455945832,70.94962563800591,71.03125395270143,71.71230574393225,64.95
28,85.86278767499462,72.33382132372834,72.41916954113913,74.83348260199575,79.63
29,74.95309375502204,72.19586568540895,73.29467755570857,72.96384536110078,75.56
30,85.09573675375877,73.53705986195492,73.33139369312981,77.73352829315527,84.97
31,62.10966968976669,72.12910623198285,72.22148046006915,71.58621040917116,72.17
