,dft,nmf,pca,kmeans,y
0,66.51650625841668,66.8586276064438,66.9835902253449,66.8878567532436,68.02
1,69.76026903662134,70.96637298418241,70.98630366280702,68.11186401273355,62.0
2,67.54426882414532,68.29363087124464,68.2841838659442,67.91271698397897,68.73
3,74.14672562716588,73.18147013694966,73.21256932224453,74.1533351835995,65.74
4,71.81850662587948,66.66004623684384,66.22538426169304,68.15694696480897,67.36
5,75.92355822717924,75.79923353443994,75.7948953951639,75.83216353584386,75.45
6,68.94948770103656,68.59377248322346,68.65782316681539,66.2118810240644,63.5
7,73.35611198590524,74.36280642805488,74.2532705178207,70.67421797857227,71.54
8,70.89957839743623,72.24748028218454,72.20280808028,73.89461554006763,73.89
9,72.69331552010796,73.59260716002727,73.63771039514363,70.45495702304605,59.09
10,74.91471309825002,73.87545390122554,73.80711011443846,76.365706723949,77.83
11,71.31115402053636,71.10000477721105,71.0913206605116,68.0034312433862,68.96
12,67.34699771209561,65.29941678505455,65.98335212336018,69.05123761252605,74.61
13,74.09018110781486,73.71313243508362,73.72830939725063,75.89408035789361,80.19
14,71.22108861481769,71.92422059752026,71.91787528917251,69.32805782924413,66.37
15,74.44512036622258,74.46105776536756,74.497302423435,77.31910266258987,72.8
16,73.13004026171012,74.074884750181,73.87103311030263,77.18573545103527,73.38
17,74.08733638990724,74.30514780091471,74.18612747544684,74.43034981168513,82.8
18,68.98495593093627,70.98083597509022,70.9901867273982,73.70016827864431,82.37
19,75.15468267032107,89.62399852080057,89.09716604791655,73.01008060428104,61.58
20,70.96606247989254,71.6737381359155,71.68849872322633,71.68303991879927,59.63
21,72.56937126125746,71.97910780944292,71.91947152601185,72.19009026712581,81.1
22,69.88708434492409,69.98402041182396,69.51416377260036,71.02719791173804,69.58
23,74.94058822474898,75.81489370508281,75.82277504791792,75.62827053465887,67.62
24,74.32875372827957,73.50965444691096,73.58816016641374,73.78186758810043,81.19
25,66.50220638008946,66.05734974120666,66.32560863935008,67.21737334916,75.7
26,72.94651676359345,74.25935993631587,74.3033276376219,77.65672007502256,71.65
27,72.73598769734575,71.97938287557174,71.88766937012129,71.86780650363909,63.41
28,68.59056297939868,68.05314849026624,68.14383408529575,72.5430980002216,73.77
29,71.95012325974662,72.72903684599089,72.67993227884213,69.55610527720485,73.32
30,72.3166099833124,70.62482692982906,70.74647235955224,75.17482367936995,64.95
31,73.2126005661004,72.88181955977592,72.86225924982267,73.35370337917321,79.63
32,74.5410195650177,72.72827272221464,72.70803546197511,74.04010371461376,75.56
33,76.91041726811537,71.23735769149631,75.32528787075054,76.37004523161387,84.97
34,74.06643371830319,74.54313229788441,74.52777375397295,69.39605423111853,78.78
35,73.72652379827997,71.66126709167683,71.7944542002554,71.23142710023902,72.17
36,75.05332886049345,74.2734695295804,74.20649150638353,70.46576128595902,66.89
37,74.78261643534289,74.43211769098691,74.3913409240476,74.31715279755255,76.97
38,68.69538834694251,72.39909372829747,72.34392447339884,69.18499307232018,76.36
39,71.34668335414493,72.46642580371258,72.47813062623726,69.71506594685698,62.49
40,66.1064438914424,71.22947212176105,71.13156242299901,67.57821078529754,76.21
41,69.55024669672278,72.51213555498511,72.47165900912414,72.13811166816893,76.66
