,dft,nmf,pca,kmeans,y
0,77.95925050788367,78.43942915542547,67.1124998393675,69.35202280158803,68.02
1,73.30322539453614,63.41833918909495,69.84862450346583,65.13162212085003,62.0
2,69.4877962983523,63.61072115555814,67.15263075093027,59.75727869428516,68.73
3,67.07513975337376,69.60867698604265,72.6427211739699,72.69281176391772,65.74
4,77.83414897897308,74.86164032620809,73.89148872191244,78.455412738792,75.45
5,65.73691818084184,72.46353655247212,68.40445612018164,65.47528895599174,63.5
6,64.558955149848,66.43530590635737,72.12485876601095,73.58013963765328,71.54
7,64.99706719057296,66.8345931550004,71.42164261421685,68.91449180580967,73.89
8,61.42481199455838,70.78648972582559,72.54736597572108,72.1594554984427,59.09
9,69.47038207964917,68.00012962645465,70.38506465404572,75.45124491980053,68.96
10,69.0527734764373,65.44201636275058,67.22862922113522,63.64059434752718,74.61
11,81.51175153298367,75.79662585681294,72.54184864373529,74.03005940987421,80.19
12,70.06625078394205,65.61626654336487,70.50551705901465,67.77170795630218,66.37
13,73.60163325137393,76.31380792305421,72.8469240963363,73.35680667755639,72.8
14,73.24632066959751,77.47692355075274,75.53334892576845,73.27973176013032,73.38
15,82.57691019571128,76.2729983908433,74.5576739842186,74.02009177468787,82.8
16,75.19332204447326,72.61254708884428,70.88050102562626,66.51746938062931,82.37
17,75.07246836962898,86.25908270341057,82.12223535473579,74.21097847296295,61.58
18,59.54086180594291,68.46246601730255,70.6671048089859,69.66121067877911,59.63
19,81.63099862502554,73.94938723432136,71.82223711439231,74.60203366967077,81.1
20,78.23445762779234,70.9137564154285,69.3272879764503,66.14817063046749,69.58
21,64.93923013842797,70.7214391891963,74.36949087599733,76.09110524920503,67.62
22,90.19426404634261,74.36869123978278,71.85315666754897,72.26957914812535,81.19
23,80.93743096703218,69.97175855994014,66.35604458974639,66.16800799685019,75.7
24,73.96287669598463,77.29682903867608,76.49033387861684,78.0674479835863,71.65
25,63.25009966710228,77.85686244632302,71.1666687771842,73.77475758972464,63.41
26,70.19288060124161,63.84375487479345,68.59510991667445,71.20433025506524,73.77
27,71.57357455945836,72.62899622492637,72.86776723328784,70.71132518757041,64.95
28,85.86278767499462,75.11909774944938,71.83788663327896,70.66319023992571,79.63
29,74.95309375502205,71.29199143781457,71.73049672726229,72.30139083527934,75.56
30,85.09573675375876,75.83432517634186,75.54766353429437,76.68029049940317,84.97
31,62.109669689766726,77.98726160980831,72.16812787598218,73.11740537424208,72.17
